extracted_name,fixed_name,region,fixed,incorrect_or_ambiguous,country,stemmed_name
Pälkjarveliä,Pälkjärvi,,x,,,pälkjarvel
Pälkjarvellä,Pälkjärvi,,x,,,pälkjarv
Pälkjärvellä,Pälkjärvi,,x,,,pälkjärv
Pälkjärvellö,Pälkjärvi,,x,,,pälkjärvelö
Pälkjärvr,Pälkjärvi,,x,,,pälkjärvr
Pälksaari,Pälksaari,karelia,x,,,pälksaar
Paltamo,Paltamo,other,x,,,paltamo
Pankkolla,Pankkolla,,,x,,panko
Par kano,Parkano,,x,,,par kano
Parai,Parainen,,x,,,parai
Paraisil,Parainen,,x,,,paraisil
Paraisilla,Parainen,,x,,,parais
Parak nen,Parak nen,,,x,,parak n
Pariisissa,Paris,other,x,,France,pariis
Parik kala,Parikkala,other,x,,,parik kal
Parikkala,Parikkala,,x,,,parikkal
Parikkalas,Parikkala,,x,,,parikkalas
Parkalassa,Parikkala,,x,,,parkal
Parkalavassa,Parkalava,,x,,,parkalav
Parkano,Parkano,,x,,,parkano
Parkanosssa,Parkano,,x,,,parkanos
Pärksaaressa,Pärksaari,,x,,,pärksaar
Partioit,Partioit,,,x,,partioi
Pärtsilä,Pärtsilä,,x,,,pärtsil
Patamossa,Patamo,,x,,,patamo
Pätkjärvellä,Pätkäjärvi,,x,,,pätkjärv
Pattijoella,Pattijoki,other,x,,,pattijoe
Pcrtunmaalla,Pertunmaa,other,x,,,pcrtunm
Pdrttell,Pdrttell,,,x,,pdrttel
Pe,Pe,,,x,,pe
Peikosenniemellä,Pelkosenniemi,other,x,,,peikosenniem
Pelkosennie-rni,Pelkosenniemi,,x,,,pelkosennie-r
Per,Per,,,x,,per
Per niö,Perniö,other,x,,,per niö
Per-niö,Perniö,,x,,,per-niö
Perä seinäjoki,Peräseinäjoki,other,x,,,perä seinäjok
Peräseinä,Peräseinäjoki,,x,,,peräs
Peräseinäjoell,Peräseinäjoki,,x,,,peräseinäjoel
Peräseinäjoella,Peräseinäjoki,,x,,,peräseinäjoe
Peräseinäjoki,Peräseinäjoki,,x,,,peräseinäjok
Perhosaa,Perho,other,x,,,perhos
Periössä,Perniö,karelia,x,,,periö
Perk,Perkjärvi,,x,,,perk
Perk järvi,Perkjärvi,,x,,,perk järv
Perk-järvi,Perkjärvi,,x,,,perk-järv
Perkjär-vi,Perkjärvi,,x,,,perkjär-v
Perkjärvi,Perkjärvi,,x,,,perkjärv
Perkjärvi Rouvan ensimmäisestä avioliitosta,Perkjärvi,,x,x,,perkjärvi rouvan ensimmäisestä avioliito
Perl,Perl,,,x,,perl
Perna ja,Perna ja,,,x,,perna j
Perntö,Perniö,,x,,,perntö
Pero,Pero,,,x,,pero
Perrniö,Perniö,,x,,,perrniö
Pertiellssa,Pertiellssa,,,x,,pertiel
Pertloli,Pertloli,,,x,,pertlol
Pertte-li,Pertteli,other,x,,,pertte-l
Perttejissä,Pertteli,,x,,,perttej
Pesäseinäjoella,Peräseinäjoki,,x,,,pesäseinäjoe
Petäjä-vesi,Petäjävesi,other,x,,,petäjä-v
Petäjävedellä,Petäjävesi,,x,,,petäjäved
Petolahdellä,Petolahti,other,x,,,petolahd
Petolahti,Petolahti,,x,,,petolaht
Petroskoi,Petroskoi,,x,,Russia,petroskoi
Petroskoj,Petroskoi,,x,,,petrosko
Petsamo,Petsamo,other,x,,Petsamo,petsamo
Piatarissa,Pietari,other,x,,Russia,piatar
Pie,Pie,,,x,,pie
Pieiisjärvella,Pielisjärvi,other,x,,,pieiisjärv
Pieksä mäki,Pieksämäki  ,other,x,,,pieksä mäk
Pieksämäellä,Pieksämäki  ,,x,,,pieksämäe
Pieksämäen mlk,Pieksämäen mlk,other,x,,,pieksämäen mlk
Pieksämäki mlk,Pieksämäen mlk,other,x,,,pieksämäki mlk
Piela vesi,Pielavesi,other,x,,,piela v
Pielavedellä,Pielavesi,,x,,,pielaved
Pieli,Pieli,,,x,,pieli
Pieli-sensuu,Pielisensuu,,x,,,pieli-sensu
Pielis,Pielis,,,x,,pielis
Pielisen-suu,Pielisensuu,other,x,,,pielisen-su
Pielisjär,Pielisjärvi,,x,,,pielisjär
Pielisjärveilä,Pielisjärvi,,x,,,pielisjärveil
Pielisjarveliä,Pielisjärvi,,x,,,pielisjarvel
PielisjärvelJä,Pielisjärvi,,x,,,pielisjärvelj
Pielisjärvellä,Pielisjärvi,,x,,,pielisjärv
Pielisjärvollä,Pielisjärvi,,x,,,pielisjärvo
PiellsjärvL,Pielisjärvi,,x,,,piellsjärvl
Pieta,Pieta,,,x,,pieta
Pietar saari Lapset ovat Eino Harjun ensimmäisestä avioliitosta,Pietarsaari ,other,x,x,,pietar saari lapset ovat eino harjun ensimmäisestä avioliito
Pietarissa,Pietari,,x,,,pietar
Pietarsaaren mlk,Pietarsaaren mlk,other,x,,,pietarsaaren mlk
Pietasaaressa,Pietarsaari ,,x,,,pietasaar
Pihkalanjärvellä,Pihkalanjärvi,karelia,x,,,pihkalanjärv
Pihkovassa,Pihkova,other,x,,Russia,pihkov
Pihlajavedellä,Pihlajavesi,other,x,,,pihlajaved
Pihtipu das,Pihtipudas,other,x,,,pihtipu das
Pihtiputaalla,Pihtipudas,,x,,,pihtiput
Piik kiö,Piikkiö,other,x,,,piik kiö
Piikkm,Piikkm,,,x,,piikkm
Piippolassa,Piippola,other,x,,,piippol
Piiskajoolla,Piiskajoki,,x,,,piiskaj
Piispansaares,Piispansaari,other,x,,,piispansaares
Pikkaianjärvellä,Pihkalanjärvi,,x,,,pikkaianjärv
Pirttijärvellä,Pirttijärvi,,x,x,,pirttijärv
Pistajärvellä,Pistajärvi,karelia,x,,,pistajärv
Pistojärvellä,Pistojärvi,other,x,,Russia (vienan Karjala),pistojärv
Pitkäkoskella,Pitkäkoski,,x,x,,pitkäkosk
Pitkäran ta,Pitkäranta,karelia,x,,,pitkäran
Pitkäranta,Pitkäranta,,x,,,pitkäran
Pitkässäran-nassa,Pitkäranta,,x,,,pitkässäran-n
Pitkässärannassa,Pitkäranta,,x,,,pitkässäran
Pltkäran ta,Pitkäranta,,x,,,pltkäran
Po ri,Pori,other,x,,,po r
Pohj,Pohj,,,x,,pohj
Pohjan pitäjä,Pohjan pitäjä,,,x,,pohjan pitäj
Pohjapitäjässä,Pohjapitäjä,,,x,,pohjapitäj
Pohjaslahdella,Pohjaslahti,other,x,,,pohjaslahd
PohjoisKarjalassa,Pohjois Karjala,other,x,,,pohjoiskarjal
PohjoisPirkkala,Pohjois Pirkkala,other,x,,,pohjoispirkkal
PohjoisPirkkalas,Pohjois Pirkkala,,x,,,pohjoispirkkalas
PohjoisPirkkalpss,Pohjois Pirkkala,,x,,,pohjoispirkkalps
Poikeluksessa,Poikelus,other,x,,,poikeluks
Pol,Pol,,,x,,pol
Pöl-läkkälä,Pölläkkälä,karelia,x,,,pöl-läkkäl
Pölkjärvi,Pölkjärvi,,x,x,,pölkjärv
Pölläkkälässä,Pölläkkälä,,x,,,pölläkkäl
Pollijärvellä,Pollijärvi,,x,x,,pollijärv
Polvijarvellä,Polvijärvi,other,x,,,polvijarv
Polvijärvells,Polvijärvi,,x,,,polvijärvells
Polvijärvi,Polvijärvi,,x,,,polvijärv
Polvijärvollä,Polvijärvi,,x,,,polvijärvo
Polvljärvollfi,Polvijärvi,,x,,,polvljärvollf
Pomeli,Pomeli,,,x,,pomel
Pomiö,Perniö,other,x,,,pomiö
Por voo,Porvoo ,other,x,,,por vo
Por-saskoski,Porsaskoski,other,x,,,por-saskosk
Porajärvellä,Porajärvi,karelia,x,,,porajärv
Poräseinäjoella,Peräseinäjoki,,x,,,poräseinäjoe
Poräseinöjoella,Peräseinäjoki,,x,,,poräseinöjoe
Pori,Pori,,x,,,pori
Pori k,Pori,,x,,,pori k
Pori Rouvan ensimmäisestä avioliitosta,Pori,,x,x,,pori rouvan ensimmäisestä avioliito
Porin mlk,Porin mlk,,x,,,porin mlk
Porissa,Pori,,x,,,por
Porjärvellä,Porajärvi,,x,,,porjärv
Porkano,Parkano,other,x,,,porkano
Porkkalassa,Porkkala,other,x,,,porkkal
Pornai,Pornainen  ,other,x,,,pornai
Pornainen Lapset ovat rouvan ensimmäisestä avioliitosta,Pornainen  ,,x,,,pornainen lapset ovat rouvan ensimmäisestä avioliito
Pornaisis,Pornainen  ,,x,,,pornaisis
Pornaisissa,Pornainen  ,,x,,,pornais
Porsiainen,Porsiainen,,,x,,porsiain
Porvdo,Porvoo,,x,,,porvdo
Porvoon mlk,Porvoon mlk,,x,,,porvoon mlk
Poti,Poti,,,x,,poti
Pöy,Pöytyä,,x,,,pöy
Pöy-tyä,Pöytyä,other,x,,,pöy-ty
Pöylyällä,Pöytyä,,x,,,pöylyä
Pöyty,Pöytyä,,x,,,pöyty
Pöytyä äsuinp,Pöytyä,,x,,,pöytyä äsuinp
Pöytyälla,Pöytyä,,x,,,pöytyä
Pöytyätlä,Pöytyä,,x,,,pöytyätl
Provensiassa,Provensia,,,x,,provensia
Pu sula,Pusula,other,x,,,pu sul
Pudasjärvellä,Pudasjärvi,other,x,,,pudasjärv
Puhoksella,Puhos,other,x,,,puhoks
Pukkilasssa,Pukkila,other,x,,,pukkilas
Pulk kila,Pulkkila,other,x,,,pulk kil
Pulsa,Pulsa,other,x,,,puls
Pun kalaidun,Punkalaidun,other,x,,,pun kalaidu
Punka,Punka,,,x,,punk
Punka laidun,Punkalaidun,,x,,,punka laidu
Punkahar ju,Punkaharju,other,x,,,punkahar ju
Punkalai dun,Punkalaidun,,x,,,punkalai du
Punkalaitu,Punkalaidun,,x,,,punkalaitu
Punkalaitumell,Punkalaidun,,x,,,punkalaitumel
Punkalaitumella,Punkalaidun,,x,,,punkalaitum
Puol,Puol,,,x,,puol
Puolangassa,Puolanka,,x,,,puolang
Purpuassa,Purpua,,x,x,,purpua
Pusala,Pusala,,x,x,,pusal
Puskilassa,Puskila,,x,x,,puskil
Puu mala,Puumala ,other,x,,,puu mal
Puumalassa,Puumala ,,x,,,puumal
Pvhäjärvellä,Pyhäjärvi,,x,x,,pvhäjärv
Py,Py,,,x,,py
Py häjarvi,Pyhäjärvi,,x,,,py häjarv
Py häjärvi,Pyhäjärvi,,x,,,py häjärv
Py Itäranta,Pyhäranta,other,x,,,py itäran
Pyh,Pyh,,,x,,pyh
Pyhä järvi,Pyhäjärvi,,x,,,pyhä järv
Pyhä-järvi,Pyhäjärvi,,x,,,pyhä-järv
Pyhä-ranta,Pyhäranta,,x,,,pyhä-ran
Pyhä-selkä,Pyhäselkä,other,x,,,pyhä-selk
Pyhäj,Pyhäjärvi,,x,x,,pyhäj
Pyhäjär,Pyhäjärvi,,x,x,,pyhäjär
Pyhäjär-vi OI,Pyhäjärvi,,x,x,,pyhäjär-vi oi
Pyhäjärveilä,Pyhäjärvi,,x,x,,pyhäjärveil
Pyhäjärvejjä,Pyhäjärvi,,x,x,,pyhäjärvej
Pyhäjärvel,Pyhäjärvi,,x,x,,pyhäjärvel
Pyhajärvellä,Pyhäjärvi,,x,x,,pyhajärv
PyhäjärvelläPuol,Pyhäjärvi,,x,x,,pyhäjärvelläpuol
Pyhäjärvelll,Pyhäjärvi,,x,x,,pyhäjärvell
Pyhäjärvi,Pyhäjärvi,,x,x,,pyhäjärv
Pyhäjärvi k,Pyhäjärvi,,x,x,,pyhäjärvi k
Pyhäjärvi OI,Pyhäjärvi OI,,x,,,pyhäjärvi oi
Pyhäjärvi UI,Pyhäjärvi UI,,x,,,pyhäjärvi ui
Pyhäjärvi UL,Pyhäjärvi UL,,x,,,pyhäjärvi ul
Pyhäjärvi VI,Pyhäjärvi VI,,x,,,pyhäjärvi v
Pyhäjärvi VL,Pyhäjärvi VL,,x,,,pyhäjärvi vl
Pyhäjärvi Vpl,Pyhäjärvi Vpl,,x,,,pyhäjärvi vpl
Pyhäjärvollä,Pyhäjärvi,,x,x,,pyhäjärvo
Pyhäjävi,Pyhäjärvi,,x,x,,pyhäjäv
Pyhäjoella,Pyhäjoki,other,x,,,pyhäjoe
Pyhäjoki,Pyhäjoki,,x,,,pyhäjok
Pyhännössä,Pyhäntä,other,x,,,pyhänö
Pyhäran,Pyhäranta,,x,,,pyhär
PyhäseläHä,Pyhäselkä,,x,,,pyhäseläh
Pyhäselällä,Pyhäselkä,,x,,,pyhäsel
Pyhjärvi,Pyhäjärvi,,x,x,,pyhjärv
Pyhtää,Pyhtää,other,x,,,pyht
Pyhtää Herran ensimmäisestä avioliitosta,Pyhtää,other,x,,,pyhtää herran ensimmäisestä avioliito
Pyikönmäellä,Pyikönmäellä,other,x,,,pyikönmäe
Pylkönmäellä,Pylkönmäellä,,x,,,pylkönmäe
Qulu,Oulu,,x,,,qulu
Ra,Ra,,,x,,ra
Rä,Rä,,,x,,rä
Rääkky-lä,Rääkkylä ,other,x,,,rääkky-l
Raakkylässä,Rääkkylä ,,x,,,raakkyl
Rääkkylässä,Rääkkylä ,,x,,,rääkkyl
Rääkkytässä,Rääkkylä ,,x,,,rääkkyt
Rääpyällä,Rääpyvä,other,x,,Russia Inkeri,rääpyä
Rahka-saari,Rahkasaari,karelia,x,,,rahka-saar
Räi,Räi,,,x,,räi
Rai sälä,Räisälä,karelia,x,,,rai säl
Räi sälä,Räisälä,,x,,,räi säl
Rai sälö,Räisälä,,x,,,rai sälö
Räi-sälä,Räisälä,,x,,,räi-säl
Raiidussa,Rautu,,x,,,raiidu
Räis,Räis,,,x,,räis
Raisa,Räisälä,karelia,x,,,raisa
Raisa lä,Räisälä,,x,,,raisa l
Räisä lä,Räisälä,,x,,,räisä l
Räisä-IS,Räisä-IS,,,x,,räisä-is
Räisä-lä,Räisälä,,x,,,räisä-l
Räisäfässä,Räisälä,,x,,,räisäf
RaisaIässä,Räisälä,,x,,,raisaiä
Räisälä,Räisälä,,x,,,räisäl
Räisälä k,Räisälä,,x,,,räisälä k
Räisälär,Räisälä,,x,,,räisälär
Räisäläs,Räisälä,,x,,,räisäläs
Räisälässä k,Räisälä,,x,,,räisälässä k
RäisälässäPuol,Räisälä,,x,,,räisälässäpuol
RaisälasSl,Räisälä,,x,,,raisälassl
Räisälässö,Räisälä,,x,,,räisäläsö
Räisäsissä,Räisänen,,x,x,,räisäs
Räisätäs,Räisälä,,x,,,räisätäs
Räisätässä,Räisälä,,x,,,räisät
Raivolassa,Raivola,,x,,,raivol
Rajajoella,Rajajoki,karelia,x,,,rajajoe
Rajamäellä,Rajamäki,other,x,,,rajamäe
Ralsälässä,Ralsälässä,karelia,x,,,ralsäl
Rankinsaari,Rankki ,other,x,,,rankinsaar
Rankissa,Rankki,,x,,,rank
Ranlasalmi,Rantasalmi,other,x,,,ranlasalm
Ranta salmi,Rantasalmi,,x,,,ranta salm
Ranta-salmi,Rantasalmi,,x,,,ranta-salm
Rantasal mi,Rantasalmi,,x,,,rantasal m
Rantasalmel,Rantasalmi,,x,,,rantasalmel
Rantasalmella,Rantasalmi,,x,,,rantasalm
Rantasalmolla,Rantasalmi,,x,,,rantasalmo
Ranualla,Ranua,other,x,,,ranua
Rapattilassa,Rapattila,other,x,,,rapattil
Räsälässä,Räsälä,,x,,,räsäl
Rasijärvellä,Rasijärvi,,x,,,rasijärv
Rau,Rau,,,x,,rau
Rau tu,Rautu,,x,,,rau tu
Rau-talammi,Rautalammi,,x,,,rau-tal
RaudusOlavi,RaudusOlavi,,,x,,raudusolav
Raudussa,Rautu,,x,,,raudu
Raudussa asuu nykyisin Ruotsissa,Rautu,,x,x,,raudussa asuu nykyisin ruots
RaudussaPuol,Rautu,,x,x,,raudussapuol
Raudusssa,Rautu,,x,,,raudus
Raulalammella,Raulalampi,,x,,,raulalam
Rauma mlk,Rauman mlk,,x,,,rauma mlk
Rauman mlk,Rauman mlk,,x,,,rauman mlk
Raunia,Rauma,,x,,,raun
Raut,Raut,,,x,,raut
Raut-järvi,Rautjärvi,,x,,,raut-järv
Rauta lampi,Rautalampi,,x,,,rauta l
Rautaiammella,Rautalampi,,x,,,rautaiam
Rautalahdella,Rautalahti,karelia,x,,,rautalahd
Rautalahti,Rautalahti,,x,,,rautalaht
Rautalam-mi,Rautalammi,,x,,,rautalam-m
Rautalarnmi,Rautalammi,,x,,,rautalarnm
Rautjäivel,Rautjärvi,,x,,,rautjäivel
Rautjäivellä,Rautjärvi,,x,,,rautjäiv
Rautjär-vi,Rautjärvi,,x,,,rautjär-v
Rautjärvellä,Rautjärvi,,x,,,rautjärv
RautjärvellAPuol,Rautjärvi,,x,x,,rautjärvellapuol
Rautjärvi k,Rautjärvi,,x,,,rautjärvi k
RautjärviIlmeellä,Rautjärvi,,x,x,,rautjärviilm
Rautjärvollä,Rautjärvi,,x,,,rautjärvo
Rautjörvellä,Rautjärvi,,x,,,rautjörv
Rautu,Rautu,karelia,x,,,rautu
Reisjäivi,Reisjärvi,,x,,,reisjäiv
RemscheidLennep,RemscheidLennep,,,x,,remscheidlennep
Rengossa,Renko,other,x,,,rengo
RengossaAvioit,RengossaAvioit,,x,x,,rengossaavioi
Repo,Repo,,,x,,repo
Repo-saari,Reposaari,,x,,,repo-saar
Repolassa,Repola,,x,,,repol
Resanissa,Resanissa,,,x,,resan
Revon-lahti,Revonlahti,,x,,,revon-laht
Revoniahdella,Revonlahti,,x,,,revoniahd
Revonkylässä,Revonkylä,,x,,,revonkyl
Revonlahdella,Revonlahti,,x,,,revonlahd
Rihlavassa,Rihlava,,x,,,rihlav
Rii-himäki,Riihimäki,other,x,,,rii-himäk
Riihi,Riihimäki,,x,,,riihi
Riihi mäki,Riihimäki,,x,,,riihi mäk
Riihi-mäellä,Riihimäki,,x,,,riihi-mäe
Riihi-mäki,Riihimäki,,x,,,riihi-mäk
Riihim,Riihimäki,,x,,,riihim
Riihimä ki,Riihimäki,,x,,,riihimä k
Riihimäellä,Riihimäki,,x,,,riihimäe
Riihimäki,Riihimäki,,x,,,riihimäk
Riihlkoskella,Riihikoski,,x,,,riihlkosk
Riistavedellä,Riistavesi,,x,,,riistaved
Riistavesi,Riistavesi,other,x,,,riistav
Ris,Ris,,,x,,ris
Ristiina,Ristiina,other,x,,,rist
Ristiinassa,Ristiina,,x,,,ristiin
Rornaisissa,Rornainen,,x,,,rornais
Roukolahdella,Roukolahti,,x,,,roukolahd
rouvan,rouvan,,,x,,rouva
Rouvan aikaisemmasta avioliitosta,Rouvan aikaisemmasta avioliitosta,,,x,,rouvan aikaisemmasta avioliito
Rouvan ensimmäisestä avioliitosta,Rouvan ensimmäisestä avioliitosta,,,x,,rouvan ensimmäisestä avioliito
Rovaniemen mlk,Rovaniemen mlk,,x,,,rovaniemen mlk
Rovaniemi k,Rovaniemi,,x,,,rovaniemi k
Rovanniemellä,Rovaniemi,,x,,,rovanniem
Rovanniemen mlk,Rovaniemen mlk,,x,,,rovanniemen mlk
Ru,Ru,,,x,,ru
Ruo,Ruo,,,x,,ruo
Ruo kolahti,Ruokolahti,,x,,,ruo kolaht
Ruo-kolahti,Ruokolahti,,x,,,ruo-kolaht
Ruoholahdella,Ruoholahti,other,x,,,ruoholahd
Ruoholahti,Ruoholahti,,x,,,ruoholaht
Ruoko lahti,Ruokolahti,,x,,,ruoko laht
Ruoko-lahti,Ruokolahti,other,x,,,ruoko-laht
Ruokofahdella,Ruokolahti,,x,,,ruokofahd
Ruokoiahdella,Ruokolahti,,x,,,ruokoiahd
Ruokolafvdella,Ruokolahti,,x,,,ruokolafvd
Ruokolah,Ruokolahti,,x,,,ruokolah
Ruokolah ti,Ruokolahti,,x,,,ruokolah t
Ruokolahdeila,Ruokolahti,,x,,,ruokolahdeil
RuokolahdeJIa,Ruokolahti,,x,,,ruokolahdej
Ruokolahdelia,Ruokolahti,,x,,,ruokolahdel
Ruokolahdessa,Ruokolahti,,x,,,ruokolahd
Ruokolahdolla,Ruokolahti,,x,,,ruokolahdo
Ruokolahti,Ruokolahti,,x,,,ruokolaht
Ruokolahti Rouvan ensimmäisestä avioliitosta,Ruokolahti,,x,x,,ruokolahti rouvan ensimmäisestä avioliito
Ruotsin pyhtää,Ruotsin pyhtää,,,,,ruotsin pyht
Ruove si,Ruovesi,,x,,,ruove
Ruovedellä,Ruovesi,,x,,,ruoved
Rus,Rus,,,x,,rus
Rus keala,Ruskeala,,x,,,rus keal
Ruskea,Ruskea,,,x,,rusk
Ruskeala k,Ruskeala,,x,,,ruskeala k
Ruskealassa,Ruskeala,,x,,,ruskeal
Ruskealassii,Ruskeala,,x,,,ruskealas
Ruskealasso,Ruskeala,,x,,,ruskealaso
Ruskealossa,Ruskeala,,x,,,ruskealo
Ruskeatassa,Ruskeala,,x,,,ruskeat
Ruskelassa,Ruskeala,,x,,,ruskel
Ruskoalassa,Ruskeala,,x,,,ruskoal
Ruskolahti,Ruskolahti,other,x,,,ruskolaht
Ruusjärvellä,Ruusjärvi,,x,,,ruusjärv
Ry,Ry,,,x,,ry
Rymätty,Rymättylä,,x,,,rymäty
Rymättylässo,Rymättylä,other,x,,,rymättyläso
Sa,Sa,,,x,,sa
Sä,Sä,,,x,,sä
Sa lo,Salo,,x,,,sa lo
Sa vonlinna,Savonlinna,,x,,,sa vonlin
Sa-vonlinno,Savonlinna,,x,,,sa-vonlino
Saa,Saa,,,x,,saa
Sää,Sää,,,x,,sää
Sää-minki,Sääminki,,x,,,sää-mink
Sääksmäessä,Sääksmäki,,x,,,sääksmäe
Saalahdella,Saalahdti,,x,,,saalahd
Saämajärvellä,Säämäjärvi,,x,,,saämajärv
Säämäjärvolla,Säämäjärvi,,x,,,säämäjärvo
Säämingissä,Sääminki,other,x,,,sääming
Sääminki,Sääminki,,x,,,säämink
Säämirigissä,Sääminki,,x,,,säämirig
Saar,Saari,,x,x,,saar
Saaressa,Saari,,x,,,saare
Saari,Saari,,x,,,saari
Saaroisissa,Saaroinen,,x,,,saarois
Sahalahdessa,Sahalahti,,x,,,sahalahd
Sai,Sai,,,x,,sai
Sai mi,Salmi,,x,,,sai m
SaimissaPuol,Salmi,,x,x,,saimissapuol
Sainio,Säiniö,,x,,,sainio
Säiniössä,Säiniö,,x,,,säiniö
SaJ mi,SaJ mi,,,x,,saj m
Sak,Sak,,,x,,sak
Sak kola,Sakkola,,x,,,sak kol
Sak-kola,Sakkola,,x,,,sak-kol
Säkki,Säkkijärvi,,x,,,säk
Säkki järvi,Säkkijärvi,,x,,,säkki järv
Säkki-järvi,Säkkijärvi,,x,,,säkki-järv
Säkkijä,Säkkijärvi,,x,,,säkkij
Säkkijär,Säkkijärvi,,x,,,säkkijär
Säkkijär vi,Säkkijärvi,,x,,,säkkijär v
Säkkijär-vi,Säkkijärvi,,x,,,säkkijär-v
Säkkijärvatlä,Säkkijärvi,,x,,,säkkijärvatl
Sakkijärvcllä,Säkkijärvi,,x,,,sakkijärvc
Säkkijärvcllä,Säkkijärvi,,x,,,säkkijärvc
Säkkijärveiiä,Säkkijärvi,,x,,,säkkijärveiiä
Säkkijärveilä,Säkkijärvi,,x,,,säkkijärveil
Säkkijärvelä,Säkkijärvi,,x,,,säkkijärvel
Säkkijarveliä,Säkkijärvi,,x,,,säkkijarvel
Sakkijärvell,Säkkijärvi,,x,,,sakkijärvel
Sakkijarvella,Säkkijärvi,,x,,,sakkijarv
Sakkijärvellä,Säkkijärvi,,x,,,sakkijärv
Säkkijarvella,Säkkijärvi,,x,,,säkkijarv
Säkkijärvella,Säkkijärvi,,x,,,säkkijärv
SäkkijärvelläAsu,Säkkijärvi,,x,x,,säkkijärvelläasu
SäkkijärvelläPuol,Säkkijärvi,,x,x,,säkkijärvelläpuol
Säkkijärvellö,Säkkijärvi,,x,,,säkkijärvelö
SäkkijärveMä,Säkkijärvi,,x,x,,säkkijärvem
Säkkijärvetlä,Säkkijärvi,,x,x,,säkkijärvetl
Säkkijärvi k,Säkkijärvi,,x,,,säkkijärvi k
Säkkijärvi Rouvan ensimmäisestä avioliitosta,Säkkijärvi,,x,x,,säkkijärvi rouvan ensimmäisestä avioliito
Säkkijärvol,Säkkijärvi,,x,,,säkkijärvol
Säkkijärvollä,Säkkijärvi,,x,,,säkkijärvo
Säkkijävi,Säkkijärvi,,x,,,säkkijäv
SäkkijäYvellä,Säkkijärvi,,x,,,säkkijäyv
Säkkijervellä,Säkkijärvi,,x,,,säkkijerv
Säkkijirvellä,Säkkijärvi,,x,,,säkkijirv
Säkkijörvellä,Säkkijärvi,,x,,,säkkijörv
Säkkilörvellä,Säkkijärvi,,x,,,säkkilörv
Säkkirvellä,Säkkijärvi,,x,,,säkkirv
Säkkkijärvi,Säkkijärvi,,x,,,säkkkijärv
Säkkljärvallä,Säkkijärvi,,x,,,säkkljärv
Sakko,Sakkola,,x,,,sako
Sakko la,Sakkola,,x,,,sakko l
Sakko-la,Sakkola,,x,,,sakko-l
Sakkofa,Sakkola,,x,,,sakkof
SakkoIässä,Sakkola,,x,,,sakoiä
Sakkola k,Sakkola,,x,,,sakkola k
Sakkola Nykyisestä avioliitosta,Sakkola,,x,x,,sakkola nykyisestä avioliito
SakkolaasaAsuinp,Sakkola,,x,x,,sakkolaasaasuinp
Sakkolainen,Sakkolainen,,,x,,sakkolain
Sakkolasäa,Sakkola,,x,,,sakkolas
Sakkolasda,Sakkola,,x,,,sakkolasd
SakkolassaAsu,Sakkola,,x,x,,sakkolassaasu
SakkolassaAsuinp,Sakkola,,x,x,,sakkolassaasuinp
SakkolassaPuol,Sakkola,,x,x,,sakkolassapuol
Sakkolasso,Sakkola,,x,x,,sakkolaso
Sakkolossa,Sakkola,,x,,,sakkolo
SakkoSelma,SakkoSelma,,,x,,sakkoselm
Sal,Sal,,,x,,sal
Salakarissa,Salakari,,x,,,salakar
Salamajärvellä,Salamajärvi,,x,,,salamajärv
Saldvigissä,Saldvig,,x,,,saldvig
Salhni,Salmi,,x,,,salh
Sallas,Salla,,x,,,sallas
Salm,Salm,,,x,,salm
Salmijärven ilmapommituksessa,Salmijärven ilmapommituksessa,,,x,,salmijärven ilmapommituks
Salminiskalla,Salminiska,,x,,,salminisk
Salmis,Salmi,,x,,,salmis
Salmissa ja sisko,Salmi,,x,x,,salmissa ja sisko
SalmissaPuol,Salmi,,x,x,,salmissapuol
Salo k,Salo,,x,,,salo k
Saloisilia,Saloinen,,x,,,saloisil
Sälöisissä,Sälöinen,,x,,,sälöis
Saloss,Salo,,x,,,salos
Salossa,Salo,,x,,,salo
SalossB,Salo,,x,,,salossb
Sampaanala,Sampaanala,other,x,,,sampaanal
Säräis-niemi,Säräisniemi,,x,,,säräis-niem
Säräisniemell,Säräisniemi,,x,,,säräisniemel
Saranskissa,Saransk,karelia,x,,,saransk
Säresmemeilä,Säresniemi,,x,,,säresmemeil
Säresnie-mi,Säresniemi,,x,,,säresnie-m
Särkisalo,Särkisalo,other,x,,,särkisalo
Särniö,Särniö,,x,,,särniö
Satoisissa,Satoinen,,x,,,satois
Sauro,Sauro,,x,,,sauro
Sauvdsssa,Sauvo,,x,,,sauvds
Sauvos,Sauvo,,x,,,sauvos
Säuvossa,Sauvo,,x,,,säuvo
Savitai,Savitaipale,,x,,,savitai
Savitaipa le,Savitaipale,,x,,,savitaipa l
Savitaipal,Savitaipale,,x,,,savitaipal
Savitaipaleell,Savitaipale,,x,,,savitaipaleel
SavitaipaleellaP,Savitaipale,,x,,,savitaipaleellap
Savolassa,Savola,,x,,,savol
Savon linna,Savonlinna,,x,,,savon lin
Savonlinnass,Savonlinna,,x,,,savonlinnas
Savonlinnassa,Savonlinna,,x,,,savonlin
Savonlinoa,Savonlinna,,x,,,savonlino
Savonran,Savonranta,,x,,,savonr
Savonrannalla,Savonranta,,x,,,savonran
Säynäi-nen,Säynäinen,,x,,,säynäi-n
Säynäisissä,Säynäinen,,x,,,säynäis
Säyneisissä,Säynäinen,,x,,,säyneis
